ENTREZID	PROBEID	GENENAME	SYMBOL	ENSEMBL	logFC	AveExpr	t	P.Value	adj.P.Val	B	test
10484	3561952	Sec23 homolog A, coat complex II component	SEC23A	ENSG00000100934	-0.624444444444442	6.77	-4.27971068362261	0.000428549638222832	0.0121713626928035	2.53858086225946	-1
10558	3214582	serine palmitoyltransferase long chain base subunit 1	SPTLC1	ENSG00000090054	-0.318888888888885	7.71944444444444	-3.21878488106802	0.004645968278018	0.0408305438894033	0.412576305122794	-1
10682	3976670	EBP cholestenol delta-isomerase	EBP	ENSG00000147155	-0.385555555555552	9.22277777777778	-4.22466895758732	0.000484985286470869	0.0129632990161769	2.42822683084518	-1
10802	2829416	SEC24 homolog A, COPII coat complex component	SEC24A	ENSG00000113615	-0.351111111111108	6.98666666666667	-3.32358078837071	0.00367934821976686	0.0362516265287772	0.619909750157992	-1
120227	3364095	cytochrome P450 family 2 subfamily R member 1	CYP2R1	ENSG00000186104	-0.518888888888888	6.42277777777778	-3.907629922065	0.000990532574686775	0.0184611452171301	1.7906039731343	-1
1387	3677795	CREB binding protein	CREBBP	ENSG00000005339	-0.209999999999996	7.09611111111111	-4.10806463241681	0.000630512072967709	0.0145932715437353	2.19401894257286	-1
1595	3060994	cytochrome P450 family 51 subfamily A member 1	CYP51A1	ENSG00000001630	-0.45111111111111	5.58222222222222	-3.43565605734262	0.00286401095641058	0.0318758424413051	0.842949168965765	-1
1717	3380697	7-dehydrocholesterol reductase	DHCR7	ENSG00000172893	-0.919999999999999	5.62888888888889	-5.6354484734246	2.18302057059951e-05	0.00300315411121661	5.16823565841395	-1
1718	2413907	24-dehydrocholesterol reductase	DHCR24	ENSG00000116133	-0.445555555555555	6.98833333333333	-3.12239833803869	0.00575190660955843	0.0464058546531468	0.223148786258372	-1
2055	3082824	CLN8 transmembrane ER and ERGIC protein	CLN8	ENSG00000182372	-0.287777777777776	5.44388888888889	-3.24774914397526	0.00435635219817469	0.0397709117519797	0.469747564311403	-1
2222	3086206	farnesyl-diphosphate farnesyltransferase 1	FDFT1	ENSG00000079459	-0.558888888888887	8.69388888888889	-4.82911954921418	0.000125799764227994	0.00667455941810873	3.62852035621667	-1
2224	2360850	farnesyl diphosphate synthase	FDPS	ENSG00000160752	-0.446666666666661	6.18111111111111	-3.52449330460786	0.00234676722639233	0.028541548747405	1.0205065662916	-1
2539	4027416	glucose-6-phosphate dehydrogenase	G6PD	ENSG00000160211	-0.452222222222224	9.09833333333333	-3.16606202459709	0.00522226822576897	0.0437228398316473	0.308795919896175	-1
25865	3866135	protein kinase D2	PRKD2	ENSG00000105287	-0.273333333333328	5.94444444444444	-3.23642705406543	0.00446739451146163	0.0401354369762375	0.447386636479319	-1
3069	2607110	high density lipoprotein binding protein	HDLBP	ENSG00000115677	-0.322222222222221	7.93666666666667	-3.79888078202011	0.00126570997332428	0.020849044791485	1.57163158042728	-1
3156	2815965	3-hydroxy-3-methylglutaryl-CoA reductase	HMGCR	ENSG00000113161	-0.626666666666665	7.35222222222222	-5.2634638618391	4.85606065935214e-05	0.00419719075693714	4.46856972586074	-1
3157	2855501	3-hydroxy-3-methylglutaryl-CoA synthase 1	HMGCS1	ENSG00000112972	-1.07	6.37722222222222	-7.02917026408046	1.27362865582272e-06	0.000632470825586828	7.59560598519341	-1
3422	3273601	isopentenyl-diphosphate delta isomerase 1	IDI1	ENSG00000067064	-0.571111111111104	6.07777777777778	-6.67219342419469	2.57315983326936e-06	0.000993645984036699	7.00474189829643	-1
