	title	geo_accession	source_name	organism	species	strain	time	group
GSM1575432	MDDC_Leishmania-donovani-strain-1S-infected_4HR-post-infection_donor-706	GSM1575432	human-monocyte-derived-dendritic-cell_Leishmania-donovani-strain-1S-infected_4HR-post-infection	Homo sapiens	Leishmania donovani	1S	4 hours	L.donovani_4
GSM1575433	MDDC_Leishmania-donovani-strain-1S-infected_8HR-post-infection_donor-706	GSM1575433	human-monocyte-derived-dendritic-cell_Leishmania-donovani-strain-1S-infected_8HR-post-infection	Homo sapiens	Leishmania donovani	1S	8 hours	L.donovani_8
GSM1575434	MDDC_Leishmania-donovani-strain-1S-infected_24HR-post-infection_donor-706	GSM1575434	human-monocyte-derived-dendritic-cell_Leishmania-donovani-strain-1S-infected_24HR-post-infection	Homo sapiens	Leishmania donovani	1S	24 hours	L.donovani_24
GSM1575435	MDDC_Leishmania-major-strain-FV1-infected_4HR-post-infection_donor-706	GSM1575435	human-monocyte-derived-dendritic-cell_Leishmania-major-strain-FV1-infected_4HR-post-infection	Homo sapiens	Leishmania major	FV1	4 hours	L.major_4
GSM1575436	MDDC_Leishmania-major-strain-FV1-infected_8HR-post-infection_donor-706	GSM1575436	human-monocyte-derived-dendritic-cell_Leishmania-major-strain-FV1-infected_8HR-post-infection	Homo sapiens	Leishmania major	FV1	8 hours	L.major_8
GSM1575437	MDDC_Leishmania-major-strain-FV1-infected_24HR-post-infection_donor-706	GSM1575437	human-monocyte-derived-dendritic-cell_Leishmania-major-strain-FV1-infected_24HR-post-infection	Homo sapiens	Leishmania major	FV1	24 hours	L.major_24
GSM1575438	MDDC_uninfected_donor-706	GSM1575438	human-monocyte-derived-dendritic-cell_uninfected	Homo sapiens	Uninfected	Uninfected	Uninfected	control
GSM1575439	MDDC_Leishmania-donovani-strain-1S-infected_4HR-post-infection_donor-707	GSM1575439	human-monocyte-derived-dendritic-cell_Leishmania-donovani-strain-1S-infected_4HR-post-infection	Homo sapiens	Leishmania donovani	1S	4 hours	L.donovani_4
GSM1575440	MDDC_Leishmania-donovani-strain-1S-infected_8HR-post-infection_donor-707	GSM1575440	human-monocyte-derived-dendritic-cell_Leishmania-donovani-strain-1S-infected_8HR-post-infection	Homo sapiens	Leishmania donovani	1S	8 hours	L.donovani_8
GSM1575441	MDDC_Leishmania-donovani-strain-1S-infected_24HR-post-infection_donor-707	GSM1575441	human-monocyte-derived-dendritic-cell_Leishmania-donovani-strain-1S-infected_24HR-post-infection	Homo sapiens	Leishmania donovani	1S	24 hours	L.donovani_24
GSM1575442	MDDC_Leishmania-major-strain-FV1-infected_4HR-post-infection_donor-707	GSM1575442	human-monocyte-derived-dendritic-cell_Leishmania-major-strain-FV1-infected_4HR-post-infection	Homo sapiens	Leishmania major	FV1	4 hours	L.major_4
GSM1575443	MDDC_Leishmania-major-strain-FV1-infected_8HR-post-infection_donor-707	GSM1575443	human-monocyte-derived-dendritic-cell_Leishmania-major-strain-FV1-infected_8HR-post-infection	Homo sapiens	Leishmania major	FV1	8 hours	L.major_8
GSM1575444	MDDC_Leishmania-major-strain-FV1-infected_24HR-post-infection_donor-707	GSM1575444	human-monocyte-derived-dendritic-cell_Leishmania-major-strain-FV1-infected_24HR-post-infection	Homo sapiens	Leishmania major	FV1	24 hours	L.major_24
GSM1575445	MDDC_uninfected_donor-707	GSM1575445	human-monocyte-derived-dendritic-cell_uninfected	Homo sapiens	Uninfected	Uninfected	Uninfected	control
GSM1575446	MDDC_Leishmania-donovani-strain-1S-infected_4HR-post-infection_donor-902	GSM1575446	human-monocyte-derived-dendritic-cell_Leishmania-donovani-strain-1S-infected_4HR-post-infection	Homo sapiens	Leishmania donovani	1S	4 hours	L.donovani_4
GSM1575447	MDDC_Leishmania-donovani-strain-1S-infected_8HR-post-infection_donor-902	GSM1575447	human-monocyte-derived-dendritic-cell_Leishmania-donovani-strain-1S-infected_8HR-post-infection	Homo sapiens	Leishmania donovani	1S	8 hours	L.donovani_8
