ENTREZID	GENENAME	SYMBOL	L.donovani_4vsControl_logFC	L.donovani_4vsControl_test	L.donovani_8vsControl_logFC	L.donovani_8vsControl_test	L.donovani_24vsControl_logFC	L.donovani_24vsControl_test
10062	nuclear receptor subfamily 1 group H member 3	NR1H3	0.883134376966169	1	1.41475057146925	1	1.81028351579712	1
10484	Sec23 homolog A, coat complex II component	SEC23A	0.372348557678334	0	0.135058025094526	0	0.286572286089761	0
10558	serine palmitoyltransferase long chain base subunit 1	SPTLC1	-0.238699610257763	0	-0.185991824444001	0	-0.0911313159530422	0
10613	ER lipid raft associated 1	ERLIN1	0.255270958416572	0	0.528721407918329	0	0.838784064403438	1
10682	EBP cholestenol delta-isomerase	EBP	-0.239640042479126	0	-0.379605782432153	0	-0.108814907129045	0
10802	SEC24 homolog A, COPII coat complex component	SEC24A	0.440097615060925	1	0.40539946938085	1	0.396529823777785	1
10938	EH domain containing 1	EHD1	1.77281518659878	1	1.40651267133112	1	1.40696454371683	1
1387	CREB binding protein	CREBBP	0.0559147982221795	0	0.21281144918877	0	-0.149320693410594	0
1593	cytochrome P450 family 27 subfamily A member 1	CYP27A1	0.661758179780765	0	1.18209936132652	0	1.81673631360289	1
1595	cytochrome P450 family 51 subfamily A member 1	CYP51A1	0.526807126019508	0	0.311325277395039	0	0.379289664888448	0
1718	24-dehydrocholesterol reductase	DHCR24	0.229386463168344	0	-0.0671326097549851	0	0.720865776216041	0
2055	CLN8 transmembrane ER and ERGIC protein	CLN8	1.04285136686454	1	0.965188715050177	1	0.825448458010646	1
2222	farnesyl-diphosphate farnesyltransferase 1	FDFT1	-0.623564578071679	0	-0.857950688099898	-1	-0.286759530362231	0
2224	farnesyl diphosphate synthase	FDPS	-0.122770907018266	0	-0.169179295247959	0	0.207870597275932	0
2230	ferredoxin 1	FDX1	0.446825688011371	0	0.801232523078912	1	1.28516791019349	1
22913	RALY heterogeneous nuclear ribonucleoprotein	RALY	0.134141430816515	0	-0.0670226350380503	0	-0.355814749757233	-1
23780	apolipoprotein L2	APOL2	0.21151513153904	0	1.1481888961064	1	1.37938258581648	1
2539	glucose-6-phosphate dehydrogenase	G6PD	0.367703828078042	0	0.509562555632154	0	0.565339710919902	0
3069	high density lipoprotein binding protein	HDLBP	-0.0745394419193754	0	-0.139295761899309	0	-0.239468972032235	0
3156	3-hydroxy-3-methylglutaryl-CoA reductase	HMGCR	-0.305999791329645	0	-0.298126383704414	0	0.146846235544574	0
3157	3-hydroxy-3-methylglutaryl-CoA synthase 1	HMGCS1	0.476022891515143	0	-0.0487394194469424	0	0.43519296969084	0
3422	isopentenyl-diphosphate delta isomerase 1	IDI1	0.384684572876939	0	0.00929722445884273	0	0.045598337871386	0
3837	karyopherin subunit beta 1	KPNB1	0.118466189373873	0	0.0819333502401101	0	0.398651312565782	1
39	acetyl-CoA acetyltransferase 2	ACAT2	0.761758034808315	0	0.852049040004847	0	1.21213570956498	0
3949	low density lipoprotein receptor	LDLR	0.58247138655997	0	0.255898605748509	0	1.18449544704266	0
4047	lanosterol synthase	LSS	1.0325449133315	1	1.35551312073134	1	1.21906933367407	1
47	ATP citrate lyase	ACLY	-0.364716774939422	0	-0.36479190567173	0	-0.128619772682642	0
4790	nuclear factor kappa B subunit 1	NFKB1	0.786165146545752	1	0.663667587347494	1	0.611383308285621	1
4802	nuclear transcription factor Y subunit gamma	NFYC	-0.265482297209058	0	-0.165608849604419	0	-0.231908433708481	0
50814	NAD(P) dependent steroid dehydrogenase-like	NSDHL	0.00677322581115369	0	-0.0763987001486122	0	-0.0260708735519284	0
51141	insulin induced gene 2	INSIG2	-0.187572513003643	0	0.0690970662231631	0	0.550687302570598	0
5336	phospholipase C gamma 2	PLCG2	-0.149982552050949	0	-0.296086591727262	0	-0.334842197545559	0
5465	peroxisome proliferator activated receptor alpha	PPARA	0.194469261326949	0	0.151849426428697	0	0.460885851169097	0
55361	phosphatidylinositol 4-kinase type 2 alpha	PI4K2A	0.0530039084363114	0	0.0132506259217671	0	0.15827057900923	0
