ACCNUM	ENTREZID	GENENAME	SYMBOL	ENSEMBL	logFC	AveExpr	t	P.Value	adj.P.Val	B	test
NM_000022	100	adenosine deaminase	ADA	ENSG00000196839	-0.657480830629936	11.3525964258686	-1.68140907559412	0.10247710236967	0.295292388545049	-2.3220028904158	0
NM_181690	10000	AKT serine/threonine kinase 3	AKT3	ENSG00000117020	0.563304877978238	11.3165938666576	1.72709508559217	0.0938501140004643	0.280644743828835	-2.25290024346593	0
BC004106	10001	mediator complex subunit 6	MED6	ENSG00000133997	0.111983984684047	10.9687644848983	0.816985707540464	0.420013169791471	0.656799446134839	-3.31582044936378	0
NM_183385	10005	acyl-CoA thioesterase 8	ACOT8	ENSG00000101473	-0.353632877498628	10.9695627367169	-1.78123771850236	0.0844245024207266	0.263597833292033	-2.16905090533428	0
AB209268	10006	abl interactor 1	ABI1	ENSG00000136754	0.207062944043932	12.9393773161354	1.04892567417585	0.302116289310921	0.552173340529066	-3.11116959336884	0
NM_005471	10007	glucosamine-6-phosphate deaminase 1	GNPDA1	ENSG00000113552	-0.699766282053575	12.0292608838843	-5.90793325441968	1.44847252940405e-06	0.000155600712998701	7.53239101269436	-1
NM_006777	10009	zinc finger and BTB domain containing 33	ZBTB33	ENSG00000177485	0.440045651506834	10.9389629387698	1.88747206172185	0.0682492701278225	0.231222753691939	-1.99851042446256	0
NM_004180	10010	TRAF family member associated NFKB activator	TANK	ENSG00000136560	0.440894691565243	13.5057458980629	3.27413926977248	0.00255878894092858	0.0277315721539863	0.819868834453661	1
AK127026	100101267	POM121 transmembrane nucleoporin C	POM121C	ENSG00000272391	0.0147968245414045	13.3507575539565	0.162943556504365	0.871593580913296	0.940740985813338	-3.62425073314496	0
BC067895	10011	steroid receptor RNA activator 1	SRA1	ENSG00000213523	-0.176917833080793	12.1256476992028	-1.30547754688335	0.20109341880582	0.438463901400191	-2.83025093073819	0
AK096196	100129434	uncharacterized LOC100129434	LOC100129434	ENSG00000233251	0.270949341148917	13.2002533125707	0.972316789399555	0.338228561806974	0.585876261396381	-3.1840633513052	0
NM_006044	10013	histone deacetylase 6	HDAC6	ENSG00000094631	-0.106777235955414	11.8084674786409	-0.747448084709606	0.460282774762925	0.690192864267622	-3.36771678743778	0
