ENTREZID	GENENAME	SYMBOL	L.major_4vsControl_logFC	L.major_4vsControl_test	L.major_8vsControl_logFC	L.major_8vsControl_test	L.major_24vsControl_logFC	L.major_24vsControl_test
10062	nuclear receptor subfamily 1 group H member 3	NR1H3	0.798785165533785	1	1.34024742906195	1	2.00129169695469	1
10484	Sec23 homolog A, coat complex II component	SEC23A	0.298003979794725	0	0.256738390370622	0	0.529624139046238	1
10558	serine palmitoyltransferase long chain base subunit 1	SPTLC1	-0.146634277219441	0	-0.121387076899605	0	-0.129746187868328	0
10613	ER lipid raft associated 1	ERLIN1	0.0862203732489117	0	0.365787445241107	0	0.820909544837022	1
10682	EBP cholestenol delta-isomerase	EBP	-0.240722654815841	0	-0.606437905948638	-1	-0.553457631089184	-1
10802	SEC24 homolog A, COPII coat complex component	SEC24A	0.398398578584677	1	0.563457569358469	1	0.515664728680399	1
10938	EH domain containing 1	EHD1	2.93278336142157	1	2.50418192749588	1	1.63086121399692	1
1387	CREB binding protein	CREBBP	0.326774576148654	0	0.466561015108317	0	0.269443573543727	0
1593	cytochrome P450 family 27 subfamily A member 1	CYP27A1	0.397486828885604	0	0.934895928550237	0	1.84174246027373	1
1595	cytochrome P450 family 51 subfamily A member 1	CYP51A1	0.793052513290739	0	0.388275519733723	0	-0.737178145788921	0
1718	24-dehydrocholesterol reductase	DHCR24	0.131663985068339	0	-0.415113264849479	0	-1.23243891834599	0
2055	CLN8 transmembrane ER and ERGIC protein	CLN8	1.02778005105178	1	1.24071141173569	1	0.813145764088782	1
2222	farnesyl-diphosphate farnesyltransferase 1	FDFT1	-0.33338200179416	0	-0.896842895140383	-1	-0.623138744877002	-1
2224	farnesyl diphosphate synthase	FDPS	0.0981151630276855	0	-0.0879755056566403	0	-0.0826793642434485	0
2230	ferredoxin 1	FDX1	0.52771906750465	0	0.891998178306142	1	1.49257010656059	1
22913	RALY heterogeneous nuclear ribonucleoprotein	RALY	0.0582367383060358	0	-0.0713807896756169	0	-0.274730463945598	0
23780	apolipoprotein L2	APOL2	0.265369003990131	0	1.21197059834289	1	1.48882795383481	1
2539	glucose-6-phosphate dehydrogenase	G6PD	0.245295964881532	0	0.248088523563386	0	0.469888578721768	0
3069	high density lipoprotein binding protein	HDLBP	-0.055453884499638	0	-0.186987581965209	0	-0.259982252632588	0
3156	3-hydroxy-3-methylglutaryl-CoA reductase	HMGCR	0.294423255842529	0	-0.422550857776685	0	-1.13231184518629	-1
3157	3-hydroxy-3-methylglutaryl-CoA synthase 1	HMGCS1	0.87254030989553	0	0.355557286462238	0	-0.264385523742481	0
