ENTREZID	GENENAME	SYMBOL	L.donovani_4vsControl_logFC	L.donovani_4vsControl_test	L.donovani_8vsControl_logFC	L.donovani_8vsControl_test	L.donovani_24vsControl_logFC	L.donovani_24vsControl_test	L.major_4vsControl_logFC	L.major_4vsControl_test	L.major_8vsControl_logFC	L.major_8vsControl_test	L.major_24vsControl_logFC	L.major_24vsControl_test
1593	cytochrome P450 family 27 subfamily A member 1	CYP27A1	0.661758179780765	0	1.18209936132652	0	1.81673631360289	1	0.397486828885604	0	0.934895928550237	0	1.84174246027373	1
2055	CLN8 transmembrane ER and ERGIC protein	CLN8	1.04285136686454	1	0.965188715050177	1	0.825448458010646	1	1.02778005105178	1	1.24071141173569	1	0.813145764088782	1
2222	farnesyl-diphosphate farnesyltransferase 1	FDFT1	-0.623564578071679	0	-0.857950688099898	-1	-0.286759530362231	0	-0.33338200179416	0	-0.896842895140383	-1	-0.623138744877002	-1
2230	ferredoxin 1	FDX1	0.446825688011371	0	0.801232523078912	1	1.28516791019349	1	0.52771906750465	0	0.891998178306142	1	1.49257010656059	1
4047	lanosterol synthase	LSS	1.0325449133315	1	1.35551312073134	1	1.21906933367407	1	1.35237602105968	1	1.78706381119219	1	1.4371153194394	1
4790	nuclear factor kappa B subunit 1	NFKB1	0.786165146545752	1	0.663667587347494	1	0.611383308285621	1	1.20440687537338	1	1.12202190531884	1	0.821096699512927	1
5742	prostaglandin-endoperoxide synthase 1	PTGS1	-0.449169553404616	0	-0.699733988460105	0	-1.05887824042014	-1	-0.589435032107687	0	-0.947082984495514	-1	-2.21648641985157	-1
6256	retinoid X receptor alpha	RXRA	-0.180714149891511	0	-0.146133091121017	0	-0.528242000269074	-1	-0.308556522769265	0	-0.563795780238035	-1	-1.19273546579089	-1
6257	retinoid X receptor beta	RXRB	-0.518642123748556	-1	-0.461276603351687	0	-0.629666427661345	-1	-0.674566045163473	-1	-0.747890248918859	-1	-0.516731705607151	-1
6646	sterol O-acyltransferase 1	SOAT1	0.524070205831778	0	0.877775746148494	1	1.19515414227545	1	0.579297935074463	0	1.06616177266802	1	1.5509786321416	1
8542	apolipoprotein L1	APOL1	-0.32025346117312	0	0.321281282849068	0	1.47185882405569	1	-0.0799084336792877	0	0.405102344869137	0	1.43189565102835	1
8613	phospholipid phosphatase 3	PLPP3	1.67125613127205	1	1.80290410917151	1	2.10945356798388	1	1.34455148433507	1	1.95381778480795	1	2.25755212430532	1
10062	nuclear receptor subfamily 1 group H member 3	NR1H3	0.883134376966169	1	1.41475057146925	1	1.81028351579712	1	0.798785165533785	1	1.34024742906195	1	2.00129169695469	1
10613	ER lipid raft associated 1	ERLIN1	0.255270958416572	0	0.528721407918329	0	0.838784064403438	1	0.0862203732489117	0	0.365787445241107	0	0.820909544837022	1
10802	SEC24 homolog A, COPII coat complex component	SEC24A	0.440097615060925	1	0.40539946938085	1	0.396529823777785	1	0.398398578584677	1	0.563457569358469	1	0.515664728680399	1
10938	EH domain containing 1	EHD1	1.77281518659878	1	1.40651267133112	1	1.40696454371683	1	2.93278336142157	1	2.50418192749588	1	1.63086121399692	1
23780	apolipoprotein L2	APOL2	0.21151513153904	0	1.1481888961064	1	1.37938258581648	1	0.265369003990131	0	1.21197059834289	1	1.48882795383481	1
