ENTREZID	GENENAME	SYMBOL	L.donovani_4vsControl_logFC	L.donovani_8vsControl_logFC	L.donovani_24vsControl_logFC	L.donovani_4vsControl_test	L.donovani_8vsControl_test	L.donovani_24vsControl_test	L.major_4vsControl_logFC	L.major_8vsControl_logFC	L.major_24vsControl_logFC	L.major_4vsControl_test	L.major_8vsControl_test	L.major_24vsControl_test	L.braziliensis_72vsControl_logFC	L.braziliensis_72vsControl_test
39	acetyl-CoA acetyltransferase 2	ACAT2	0.761758034808315	0.852049040004847	1.21213570956498	0	0	0	1.26519079696805	1.14702152789112	0.942297160999271	1	0	0	-0.637777777777774	-1
47	ATP citrate lyase	ACLY	-0.364716774939422	-0.36479190567173	-0.128619772682642	0	0	0	-0.236958610156542	-0.304274184675076	-0.300098512515794	0	-1	0	-0.366666666666667	-1
1387	CREB binding protein	CREBBP	0.0559147982221795	0.21281144918877	-0.149320693410594	0	0	0	0.326774576148654	0.466561015108317	0.269443573543727	0	0	0	-0.209999999999996	-1
1593	cytochrome P450 family 27 subfamily A member 1	CYP27A1	0.661758179780765	1.18209936132652	1.81673631360289	0	0	1	0.397486828885604	0.934895928550237	1.84174246027373	0	0	1	0.0144444444444467	0
1595	cytochrome P450 family 51 subfamily A member 1	CYP51A1	0.526807126019508	0.311325277395039	0.379289664888448	0	0	0	0.793052513290739	0.388275519733723	-0.737178145788921	0	0	0	-0.45111111111111	-1
1718	24-dehydrocholesterol reductase	DHCR24	0.229386463168344	-0.0671326097549851	0.720865776216041	0	0	0	0.131663985068339	-0.415113264849479	-1.23243891834599	0	0	0	-0.445555555555555	-1
2055	CLN8 transmembrane ER and ERGIC protein	CLN8	1.04285136686454	0.965188715050177	0.825448458010646	1	1	1	1.02778005105178	1.24071141173569	0.813145764088782	1	1	1	-0.287777777777776	-1
2222	farnesyl-diphosphate farnesyltransferase 1	FDFT1	-0.623564578071679	-0.857950688099898	-0.286759530362231	0	-1	0	-0.33338200179416	-0.896842895140383	-0.623138744877002	0	-1	-1	-0.558888888888887	-1
2224	farnesyl diphosphate synthase	FDPS	-0.122770907018266	-0.169179295247959	0.207870597275932	0	0	0	0.0981151630276855	-0.0879755056566403	-0.0826793642434485	0	0	0	-0.446666666666661	-1
2230	ferredoxin 1	FDX1	0.446825688011371	0.801232523078912	1.28516791019349	0	1	1	0.52771906750465	0.891998178306142	1.49257010656059	0	1	1	-0.0933333333333266	0
