ENTREZID	GENENAME	SYMBOL	L.major_4vsControl_logFC	L.major_4vsControl_test	L.major_8vsControl_logFC	L.major_8vsControl_test	L.major_24vsControl_logFC	L.major_24vsControl_test	logFC
39	acetyl-CoA acetyltransferase 2	ACAT2	1.26519079696805	1	1.14702152789112	0	0.942297160999271	0	-0.637777777777774
47	ATP citrate lyase	ACLY	-0.236958610156542	0	-0.304274184675076	-1	-0.300098512515794	0	-0.366666666666667
2055	CLN8 transmembrane ER and ERGIC protein	CLN8	1.02778005105178	1	1.24071141173569	1	0.813145764088782	1	-0.287777777777776
2222	farnesyl-diphosphate farnesyltransferase 1	FDFT1	-0.33338200179416	0	-0.896842895140383	-1	-0.623138744877002	-1	-0.558888888888887
3156	3-hydroxy-3-methylglutaryl-CoA reductase	HMGCR	0.294423255842529	0	-0.422550857776685	0	-1.13231184518629	-1	-0.626666666666665
3422	isopentenyl-diphosphate delta isomerase 1	IDI1	0.359933219797199	0	0.0242963299623131	0	-0.529661622224703	-1	-0.571111111111104
4802	nuclear transcription factor Y subunit gamma	NFYC	-0.190147297238425	0	-0.236447148323435	0	-0.597708294634829	-1	-0.412222222222217
5336	phospholipase C gamma 2	PLCG2	-0.195961877550873	0	-0.401988998713492	-1	-0.496431962190075	-1	-0.308888888888887
5465	peroxisome proliferator activated receptor alpha	PPARA	0.192729771268633	0	0.301611987642607	0	0.791323153296139	1	-0.203333333333332
5742	prostaglandin-endoperoxide synthase 1	PTGS1	-0.589435032107687	0	-0.947082984495514	-1	-2.21648641985157	-1	-0.395555555555555
6256	retinoid X receptor alpha	RXRA	-0.308556522769265	0	-0.563795780238035	-1	-1.19273546579089	-1	-0.351111111111111
6257	retinoid X receptor beta	RXRB	-0.674566045163473	-1	-0.747890248918859	-1	-0.516731705607151	-1	-0.343333333333332
6667	Sp1 transcription factor	SP1	-0.523972574932971	-1	-0.565389448790267	-1	-0.220888344445923	0	-0.292222222222219
8394	phosphatidylinositol-4-phosphate 5-kinase type 1 alpha	PIP5K1A	0.454649645474451	1	0.573691069312693	1	0.30655452640196	0	-0.468888888888884
8396	phosphatidylinositol-5-phosphate 4-kinase type 2 beta	PIP4K2B	-0.638279864142362	-1	-0.774564936033821	-1	-0.189281535766256	0	-0.225555555555554
8613	phospholipid phosphatase 3	PLPP3	1.34455148433507	1	1.95381778480795	1	2.25755212430532	1	0.247777777777778
8760	CDP-diacylglycerol synthase 2	CDS2	-0.246971129194685	0	0.280378533101111	0	0.449028110285816	1	-0.28111111111111
10484	Sec23 homolog A, coat complex II component	SEC23A	0.298003979794725	0	0.256738390370622	0	0.529624139046238	1	-0.624444444444442
10682	EBP cholestenol delta-isomerase	EBP	-0.240722654815841	0	-0.606437905948638	-1	-0.553457631089184	-1	-0.385555555555552
10802	SEC24 homolog A, COPII coat complex component	SEC24A	0.398398578584677	1	0.563457569358469	1	0.515664728680399	1	-0.351111111111108
50814	NAD(P) dependent steroid dehydrogenase-like	NSDHL	-0.0377156007177089	0	-0.412773686854974	-1	-0.586409099430959	-1	-0.491111111111107
55902	acyl-CoA synthetase short chain family member 2	ACSS2	-0.560506756304568	0	-0.97475188298087	-1	-0.1116443350562	0	-0.558888888888887
