ENTREZID	GENENAME	SYMBOL	L.donovani_4vsControl_logFC	L.donovani_4vsControl_test	L.donovani_8vsControl_logFC	L.donovani_8vsControl_test	L.donovani_24vsControl_logFC	L.donovani_24vsControl_test	logFC
120	adducin 3	ADD3	-0.433297926853488	0	-1.07691167301858	-1	-0.641771756295777	0	-0.319999999999998
327	acylaminoacyl-peptide hydrolase	APEH	-0.665813747502703	0	-0.772878538042347	-1	-0.348273469662205	0	-0.439999999999998
328	apurinic/apyrimidinic endodeoxyribonuclease 1	APEX1	-0.584584131610898	0	-0.690006687424095	-1	-0.211399217299638	0	-0.357777777777777
392	Rho GTPase activating protein 1	ARHGAP1	-0.632891561809625	-1	-0.664910537963207	-1	-0.501332096865157	0	-0.465555555555552
403	ADP ribosylation factor like GTPase 3	ARL3	-0.532787732278349	0	-1.00969710081258	-1	-0.574466227676961	0	-0.251111111111108
405	aryl hydrocarbon receptor nuclear translocator	ARNT	-0.305444003701398	0	-0.367569484690467	0	-0.507527610715814	-1	-0.313333333333332
444	aspartate beta-hydroxylase	ASPH	1.34123586194044	1	1.89451320031333	1	0.564998435126926	0	-0.24666666666666
472	ATM serine/threonine kinase	ATM	-0.226772634158117	0	-0.64176431518999	-1	-0.0418085675345914	0	-0.51888888888889
571	BTB domain and CNC homolog 1	BACH1	0.942927607439364	1	0.788440360085518	1	0.376736048491225	0	-0.568888888888888
573	BCL2 associated athanogene 1	BAG1	0.382815904874013	0	0.393795306333621	1	0.414402829776613	1	-0.467777777777774
583	Bardet-Biedl syndrome 2	BBS2	-0.490479723952022	-1	-0.746717334231347	-1	-0.222772898396149	0	-0.566666666666667
585	Bardet-Biedl syndrome 4	BBS4	-0.423276361026408	-1	-0.236776887143819	0	-0.190405566641266	0	-0.418888888888882
645	biliverdin reductase B	BLVRB	-0.49994782200049	0	-0.492874756706753	0	-0.956767403480955	-1	-0.509999999999996
684	bone marrow stromal cell antigen 2	BST2	-0.4381372849955	0	-0.513016612254384	-1	-0.0572385582578292	0	-0.365555555555559
823	calpain 1	CAPN1	-0.408484554618585	-1	-0.495243904872201	-1	-0.355038517187099	0	-0.268888888888888
920	CD4 molecule	CD4	-0.0952461169904719	0	-0.212698935500004	0	-0.411897218511548	-1	-0.555555555555556
962	CD48 molecule	CD48	0.846159173941496	1	1.40242619618355	1	1.77114500096157	1	0.407777777777783
1019	cyclin dependent kinase 4	CDK4	0.656026559821868	1	0.734923563123138	1	0.680292611575531	1	-0.385555555555554
1153	cold inducible RNA binding protein	CIRBP	-0.134696535222423	0	-0.20992704788322	0	-0.535267112812761	-1	-0.465555555555554
1173	adaptor related protein complex 2 subunit mu 1	AP2M1	-0.143411066957032	0	-0.246810393818297	0	-0.488419174097663	-1	-0.329999999999997
1318	solute carrier family 31 member 2	SLC31A2	-0.0330037641753194	0	0.306265334495533	0	0.764582512449321	1	-0.581111111111108
1389	cAMP responsive element binding protein like 2	CREBL2	-0.242261735007423	0	-0.59245800590495	-1	-0.0498049516260917	0	-0.421111111111106
1407	cryptochrome circadian regulator 1	CRY1	1.27633467175454	1	1.03314446814531	1	0.118434563785279	0	-0.468888888888887
1434	chromosome segregation 1 like	CSE1L	-0.313027806342296	0	-0.418876449202003	-1	-0.387645161310504	0	-0.342222222222222
1436	colony stimulating factor 1 receptor	CSF1R	-0.220620695568279	0	-0.457493997958593	0	-0.596134150895342	-1	-0.696666666666664
1439	colony stimulating factor 2 receptor beta common subunit	CSF2RB	-0.55637713383959	-1	-0.234389549174365	0	0.386889076228094	0	-0.285555555555551
1477	cleavage stimulation factor subunit 1	CSTF1	-0.36836557022688	0	-0.419931600531475	-1	-0.262522918720414	0	-0.34555555555555
1725	deoxyhypusine synthase	DHPS	-0.180521325363118	0	-0.486222644213473	-1	-0.169740288024707	0	-0.528888888888886
1737	dihydrolipoamide S-acetyltransferase	DLAT	0.0274632011515745	0	0.021603716551855	0	0.603424794995368	1	-0.494444444444443
1742	discs large MAGUK scaffold protein 4	DLG4	-0.619002793997083	0	-0.895301335508199	-1	-1.06424213581688	-1	-0.347777777777777
1778	dynein cytoplasmic 1 heavy chain 1	DYNC1H1	0.498330872083434	1	0.488265742164629	1	0.349473826327186	0	-0.408888888888888
1786	DNA methyltransferase 1	DNMT1	-0.873265032402806	-1	-0.915388651282793	-1	-1.1603670171812	-1	-0.157777777777773
1845	dual specificity phosphatase 3	DUSP3	0.305773523700759	1	0.0500444950994243	0	-0.395471432951091	-1	-0.342222222222221
1854	deoxyuridine triphosphatase	DUT	-0.25992588815625	0	-0.573543877138334	-1	-0.445885169567365	0	-0.284444444444444
1871	E2F transcription factor 3	E2F3	0.47472887990012	1	0.312514045239372	0	0.280735763546302	0	-0.348888888888888
1891	enoyl-CoA hydratase 1	ECH1	-0.563662262078886	-1	-0.7650374280376	-1	-0.50322835031676	-1	-0.464444444444441
1967	eukaryotic translation initiation factor 2B subunit alpha	EIF2B1	-0.540373381585123	-1	-0.428368484828535	-1	-0.146433392960681	0	-0.491111111111108
1974	eukaryotic translation initiation factor 4A2	EIF4A2	-0.528703620940167	-1	-0.663110631958519	-1	-0.252885867706166	0	-0.526666666666666
1983	eukaryotic translation initiation factor 5	EIF5	0.686510111555394	1	0.61668172630657	1	0.404617702015827	1	-0.389999999999998
2012	epithelial membrane protein 1	EMP1	0.885575974842897	0	1.09406264342633	1	0.514382251672385	0	-0.369999999999994
2023	enolase 1	ENO1	0.385718682647052	1	0.393279298306407	1	0.261544567554033	0	-0.39111111111111
2030	solute carrier family 29 member 1 (Augustine blood group)	SLC29A1	-0.148229982889779	0	0.471407077869678	0	0.987743049061578	1	-0.616666666666662
2055	CLN8 transmembrane ER and ERGIC protein	CLN8	1.04285136686454	1	0.965188715050177	1	0.825448458010646	1	-0.287777777777776
2091	fibrillarin	FBL	-0.476194585916808	-1	-0.539051383296416	-1	-0.360073686618303	-1	-0.299999999999997
2109	electron transfer flavoprotein subunit beta	ETFB	-0.448519917694396	0	-0.508721882676831	-1	-0.379621772861196	0	-0.383333333333328
