ENTREZID	GENENAME	SYMBOL	L.donovani_4vsControl_logFC	L.donovani_4vsControl_test	L.donovani_8vsControl_logFC	L.donovani_8vsControl_test	L.donovani_24vsControl_logFC	L.donovani_24vsControl_test	L.major_4vsControl_logFC	L.major_4vsControl_test	L.major_8vsControl_logFC	L.major_8vsControl_test	L.major_24vsControl_logFC	L.major_24vsControl_test
25	ABL proto-oncogene 1, non-receptor tyrosine kinase	ABL1	-0.453197302959016	0	-0.493880239169552	0	-0.596730719418412	-1	-0.749821294675108	-1	-1.00155714017596	-1	-0.788569578680875	-1
27	ABL proto-oncogene 2, non-receptor tyrosine kinase	ABL2	0.898171392699407	1	0.742792371802368	1	0.206777739098833	0	1.09505996633636	1	0.82303675391239	1	-0.0512056795505007	0
48	aconitase 1	ACO1	0.286260871777078	0	0.473177360765424	0	1.28743350173198	1	0.36532847594731	0	0.488640027059486	0	1.13169550345184	1
53	acid phosphatase 2, lysosomal	ACP2	-0.117826143922992	0	0.123263166058528	0	0.461450059546451	1	-0.271864846160716	0	0.0865943449865654	0	0.390211235352403	1
55	acid phosphatase, prostate	ACPP	-1.23710938565032	-1	-1.55168834904573	-1	-0.666379297510213	0	-1.27042626844106	-1	-1.28832808015504	-1	-0.551010443439393	0
90	activin A receptor type 1	ACVR1	0.842926544932064	1	0.744419028358932	1	-0.0155447284648851	0	0.601612740507758	1	0.548843266822868	1	0.148516450795114	0
100	adenosine deaminase	ADA	-0.794021718648063	0	-1.4449390154179	-1	-0.657480830629936	0	-0.467218183417552	0	-0.113699874922846	0	1.05581567109789	1
113	adenylate cyclase 7	ADCY7	-1.11349594821331	-1	-0.955046222826676	-1	-0.923721821333331	-1	-1.36227014779607	-1	-1.39607481658607	-1	-1.25375697353417	-1
120	adducin 3	ADD3	-0.433297926853488	0	-1.07691167301858	-1	-0.641771756295777	0	-0.494277039251559	0	-1.04559148051209	-1	-0.220530413861502	0
123	perilipin 2	PLIN2	1.08133573332137	1	0.831856588802022	1	0.862592450064396	1	0.902619939532332	1	0.807716994785775	1	0.866387382340948	1
133	adrenomedullin	ADM	2.46440811603526	1	1.99933795019816	1	1.76716296914468	1	2.67338538108848	1	2.52098086051177	1	1.80236065808228	1
141	ADP-ribosylarginine hydrolase	ADPRH	0.583927105143188	1	0.549077167169296	1	0.377172390535343	0	0.632240183941379	1	0.565661635764821	1	0.207095107925225	0
142	poly(ADP-ribose) polymerase 1	PARP1	-0.460731620138352	-1	-0.749011150480525	-1	-0.449118907386776	0	-0.783662202093245	-1	-1.33738597350018	-1	-0.879931462349743	-1
161	adaptor related protein complex 2 subunit alpha 2	AP2A2	-0.295964118908572	0	-0.760195025883183	-1	-1.1735577301698	-1	-0.553276593039007	0	-0.98498718198219	-1	-1.22255052640016	-1
162	adaptor related protein complex 1 subunit beta 1	AP1B1	-0.341499055495518	0	-0.641316590106205	-1	-1.09221541734081	-1	-0.456948113438409	0	-0.859272172109295	-1	-1.49794775418747	-1
166	TLE family member 5, transcriptional modulator	TLE5	-0.149421313315147	0	-0.400120983903664	0	-0.64355622576436	-1	-0.359561395180355	0	-0.497580830733963	0	-0.678478883622132	-1
172	AFG3 like matrix AAA peptidase subunit 1, pseudogene	AFG3L1P	0.221245036471581	0	0.39472949029448	1	0.275660048851398	0	0.206497479050242	0	0.305933214852578	1	0.334870604770389	1
178	amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase	AGL	-0.518086035724853	0	-0.70008457702273	-1	0.0489347027987108	0	-0.510079297691306	0	-0.898774375512234	-1	-0.405167344444486	0
182	jagged canonical Notch ligand 1	JAG1	2.0692480532522	1	1.46310581491004	1	1.12533460301934	0	2.11156846580896	1	1.99146584072214	1	0.982869843526386	0
196	aryl hydrocarbon receptor	AHR	0.228016505022717	0	0.236176521071155	0	0.55073229793293	1	-0.0384099678499172	0	0.391731591389281	0	0.507230937554853	1
199	allograft inflammatory factor 1	AIF1	-0.1214387869558	0	-0.158193358834454	0	-0.793188845972452	-1	-0.192341566679641	0	-0.188380504517609	0	-1.22227132368686	-1
204	adenylate kinase 2	AK2	-0.329767907112684	0	-0.517753034800041	-1	0.140344776634151	0	-0.331766004259427	0	-0.607811042089569	-1	-0.1856309555655	0
205	adenylate kinase 4	AK4	2.40416710069115	1	2.52181002513619	1	2.5220293060835	1	2.25982988612305	1	2.73570268559467	1	2.88369892628325	1
208	AKT serine/threonine kinase 2	AKT2	-0.421616581078421	-1	-0.321023008300731	-1	-0.343894566271914	-1	-0.333429247325627	-1	-0.340558617568639	-1	-0.431933306565289	-1
211	5'-aminolevulinate synthase 1	ALAS1	0.279973268040049	0	0.286423082880251	0	0.519919464408314	1	0.280222920950601	0	0.0867806564357707	0	0.489000393758184	1
223	aldehyde dehydrogenase 9 family member A1	ALDH9A1	-0.515404794452573	-1	-0.614457097836132	-1	-0.364345993052483	-1	-0.487144533518219	-1	-0.71570268790852	-1	-0.443606225631534	-1
271	adenosine monophosphate deaminase 2	AMPD2	-0.891746904006943	-1	-0.983936734906678	-1	-0.65213862754724	0	-0.808314022820296	-1	-1.40601762061207	-1	-1.08541799931626	-1
272	adenosine monophosphate deaminase 3	AMPD3	1.27157956633159	1	1.2756539545252	1	0.791058292620365	0	1.48868259965753	1	1.82058480753612	1	0.934986028780774	1
293	solute carrier family 25 member 6	SLC25A6	-0.313266127657315	0	-0.323619366070416	-1	-0.380776818112269	-1	-0.105809917042272	0	-0.229390429127136	0	-0.303546367914031	-1
327	acylaminoacyl-peptide hydrolase	APEH	-0.665813747502703	0	-0.772878538042347	-1	-0.348273469662205	0	-0.61650989599473	0	-0.981235201757061	-1	-0.644576466933698	0
328	apurinic/apyrimidinic endodeoxyribonuclease 1	APEX1	-0.584584131610898	0	-0.690006687424095	-1	-0.211399217299638	0	-0.636859462977693	0	-0.863188838241856	-1	-0.833650189549727	-1
330	baculoviral IAP repeat containing 3	BIRC3	0.595301755175777	0	0.665525394523897	0	1.23973505702923	1	1.28933065773752	1	1.33536654346449	1	1.55318559482345	1
