ENTREZID	GENENAME	SYMBOL	L.major_4vsControl_logFC	L.major_4vsControl_test	L.major_8vsControl_logFC	L.major_8vsControl_test	L.major_24vsControl_logFC	L.major_24vsControl_test	logFC
9	N-acetyltransferase 1	NAT1	-0.78161020059426	-1	-0.693068926407728	-1	-0.297360158673666	0	-0.42
39	acetyl-CoA acetyltransferase 2	ACAT2	1.26519079696805	1	1.14702152789112	0	0.942297160999271	0	-0.637777777777774
47	ATP citrate lyase	ACLY	-0.236958610156542	0	-0.304274184675076	-1	-0.300098512515794	0	-0.366666666666667
95	aminoacylase 1	ACY1	-0.488534603643142	0	-0.839968293394714	-1	-0.79713060954923	-1	-0.278888888888886
120	adducin 3	ADD3	-0.494277039251559	0	-1.04559148051209	-1	-0.220530413861502	0	-0.319999999999998
143	poly(ADP-ribose) polymerase family member 4	PARP4	-0.509185460105426	-1	-0.437758225351599	-1	-0.306178073780421	0	-0.243333333333328
163	adaptor related protein complex 2 subunit beta 1	AP2B1	-0.268711115019814	0	-0.236306591659686	0	-0.562711310835665	-1	-0.246666666666666
327	acylaminoacyl-peptide hydrolase	APEH	-0.61650989599473	0	-0.981235201757061	-1	-0.644576466933698	0	-0.439999999999998
328	apurinic/apyrimidinic endodeoxyribonuclease 1	APEX1	-0.636859462977693	0	-0.863188838241856	-1	-0.833650189549727	-1	-0.357777777777777
392	Rho GTPase activating protein 1	ARHGAP1	-0.742722776585596	-1	-0.736126082410596	-1	-0.727892734886835	-1	-0.465555555555552
397	Rho GDP dissociation inhibitor beta	ARHGDIB	-0.0900022364869564	0	-0.192628110369848	0	-0.73896546793368	-1	-0.322222222222219
403	ADP ribosylation factor like GTPase 3	ARL3	-0.520852489579969	0	-1.02646765549104	-1	-0.484978916780772	0	-0.251111111111108
405	aryl hydrocarbon receptor nuclear translocator	ARNT	-0.511632872916842	-1	-0.417493896378121	-1	-0.328452252226443	0	-0.313333333333332
439	guided entry of tail-anchored proteins factor 3, ATPase	GET3	-0.269237788620011	0	-0.441635550171002	-1	-0.248454231482876	0	-0.514444444444445
444	aspartate beta-hydroxylase	ASPH	1.03365207775069	1	1.56866216577748	1	0.411526068365781	0	-0.24666666666666
472	ATM serine/threonine kinase	ATM	-0.381117104887926	0	-0.866855926989997	-1	-0.382888080047636	0	-0.51888888888889
571	BTB domain and CNC homolog 1	BACH1	0.800915271605287	1	0.98800589897985	1	0.651312438830642	1	-0.568888888888888
573	BCL2 associated athanogene 1	BAG1	0.527964832471854	1	0.661369585698603	1	0.357519396253542	0	-0.467777777777774
583	Bardet-Biedl syndrome 2	BBS2	-0.676982114292541	-1	-0.784203322428105	-1	0.182309039221972	0	-0.566666666666667
585	Bardet-Biedl syndrome 4	BBS4	-0.58592952227808	-1	-0.611685052938835	-1	-0.0460310542858373	0	-0.418888888888882
645	biliverdin reductase B	BLVRB	-0.535941538774885	0	-0.718685608045385	-1	-0.960320694828818	-1	-0.509999999999996
677	ZFP36 ring finger protein like 1	ZFP36L1	-0.5983140764254	0	-0.754481169140927	-1	-0.430646599799973	0	-0.256666666666662
695	Bruton tyrosine kinase	BTK	-0.410529308401662	-1	-0.52776844473199	-1	-0.52232559588648	-1	-0.493333333333331
823	calpain 1	CAPN1	-0.544424481678899	-1	-0.675165833903588	-1	-0.329957493031531	0	-0.268888888888888
867	Cbl proto-oncogene	CBL	-0.432298005199801	-1	-0.421615565348043	-1	-0.310094008988351	0	-0.284444444444439
920	CD4 molecule	CD4	-0.205558853642323	0	-0.305001370370965	0	-0.516398269921888	-1	-0.555555555555556
962	CD48 molecule	CD48	1.25153968038185	1	1.77433707045157	1	1.75372422472269	1	0.407777777777783
1019	cyclin dependent kinase 4	CDK4	0.60753466824892	1	0.637445956402837	1	0.494433707656246	1	-0.385555555555554
1069	centrin 2	CETN2	-0.131834419046008	0	-0.399825964671702	-1	-0.625801034405164	-1	-0.216666666666667
1102	RCC1 and BTB domain containing protein 2	RCBTB2	-1.04471552299618	-1	-1.35939031374793	-1	-1.5342379925233	-1	-0.337777777777776
1173	adaptor related protein complex 2 subunit mu 1	AP2M1	-0.172536649702465	0	-0.449998888188109	-1	-0.363659397183165	-1	-0.329999999999997
1198	CDC like kinase 3	CLK3	0.217079100131754	0	0.286330040162049	1	0.25934414327949	1	-0.342222222222222
1211	clathrin light chain A	CLTA	-0.202654807500046	0	-0.293084867934086	-1	-0.348443382528718	-1	-0.243333333333332
1236	C-C motif chemokine receptor 7	CCR7	0.836162525652139	0	1.51169912719349	1	2.08394965556442	1	0.522222222222223
1317	solute carrier family 31 member 1	SLC31A1	0.104602292066307	0	0.446905332160156	0	0.931310156892989	1	-0.202222222222222
1318	solute carrier family 31 member 2	SLC31A2	0.116705176559185	0	0.481020510882619	1	0.931603774344076	1	-0.581111111111108
1389	cAMP responsive element binding protein like 2	CREBL2	-0.231381219074192	0	-0.538208383555098	-1	-0.0994243590105501	0	-0.421111111111106
1407	cryptochrome circadian regulator 1	CRY1	1.15732875580452	1	0.987262959101722	1	0.173229267420812	0	-0.468888888888887
1434	chromosome segregation 1 like	CSE1L	-0.374001881406192	0	-0.399093922441738	-1	-0.531384905507991	-1	-0.342222222222222
1436	colony stimulating factor 1 receptor	CSF1R	-0.277131322390733	0	-0.632110736720128	-1	-1.32711700937159	-1	-0.696666666666664
1439	colony stimulating factor 2 receptor beta common subunit	CSF2RB	-0.282479667606538	0	-0.0519750213352843	0	0.689552397130216	1	-0.285555555555551
1477	cleavage stimulation factor subunit 1	CSTF1	-0.602437070478786	-1	-0.716603949191317	-1	-0.349471688535482	-1	-0.34555555555555
1500	catenin delta 1	CTNND1	-0.398602733624751	0	-0.466532124705354	-1	-0.533190910798588	-1	-0.312222222222222
1725	deoxyhypusine synthase	DHPS	-0.165454195683472	0	-0.322643965666689	-1	-0.0477539978528689	0	-0.528888888888886
1729	diaphanous related formin 1	DIAPH1	-0.24535477936133	0	-0.56228641790613	-1	-0.305347259940195	0	-0.327777777777776
1737	dihydrolipoamide S-acetyltransferase	DLAT	-0.114116362326353	0	0.00112094811404972	0	0.59135572287048	1	-0.494444444444443
1742	discs large MAGUK scaffold protein 4	DLG4	-0.334414691719386	0	-0.748877556280075	-1	-0.986619543289018	-1	-0.347777777777777
1786	DNA methyltransferase 1	DNMT1	-0.778943615542353	-1	-1.28131674650528	-1	-1.23771911866313	-1	-0.157777777777773
1808	dihydropyrimidinase like 2	DPYSL2	-0.263960818362541	0	-0.117997515596809	0	-0.372722239045949	-1	-0.34333333333333
1845	dual specificity phosphatase 3	DUSP3	0.213155014718724	0	-0.102539773017028	0	-0.382545946371334	-1	-0.342222222222221
1854	deoxyuridine triphosphatase	DUT	-0.305235140460452	0	-0.477369232358912	-1	-0.998459125803363	-1	-0.284444444444444
1871	E2F transcription factor 3	E2F3	0.473654254193114	1	0.430999031692124	1	-0.110060734893118	0	-0.348888888888888
1891	enoyl-CoA hydratase 1	ECH1	-0.408801820622104	0	-0.733862270460161	-1	-0.161727165455757	0	-0.464444444444441
1967	eukaryotic translation initiation factor 2B subunit alpha	EIF2B1	-0.553691313510411	-1	-0.78911352388366	-1	-0.448966418367252	-1	-0.491111111111108
1983	eukaryotic translation initiation factor 5	EIF5	0.616644828976481	1	0.640476210140449	1	0.44308239536117	1	-0.389999999999998
2030	solute carrier family 29 member 1 (Augustine blood group)	SLC29A1	-0.262348130888045	0	0.48586815999637	0	1.35981090834622	1	-0.616666666666662
2054	syntaxin 2	STX2	0.0947364335103273	0	0.207480717628972	0	-0.947202897034852	-1	-0.448888888888887
2055	CLN8 transmembrane ER and ERGIC protein	CLN8	1.02778005105178	1	1.24071141173569	1	0.813145764088782	1	-0.287777777777776
2091	fibrillarin	FBL	-0.213244827411186	0	-0.47135572286057	-1	-0.488679791736425	-1	-0.299999999999997
2109	electron transfer flavoprotein subunit beta	ETFB	-0.30513343611916	0	-0.646822764566915	-1	-0.256455168893032	0	-0.383333333333328
2130	EWS RNA binding protein 1	EWSR1	-0.0876967327416995	0	-0.125165357713948	0	-0.477443033351147	-1	-0.32333333333333
2185	protein tyrosine kinase 2 beta	PTK2B	-0.190254374696931	0	0.4222904397904	0	1.11007882867734	1	-0.330000000000002
2193	phenylalanyl-tRNA synthetase subunit alpha	FARSA	-0.489623570414599	0	-0.642617091197566	-1	-0.451721497696163	0	-0.446666666666665
2222	farnesyl-diphosphate farnesyltransferase 1	FDFT1	-0.33338200179416	0	-0.896842895140383	-1	-0.623138744877002	-1	-0.558888888888887
2268	FGR proto-oncogene, Src family tyrosine kinase	FGR	0.911644621165099	1	0.949527368668509	1	0.723568461939688	1	-0.307777777777776
