ENTREZID	GENENAME	SYMBOL	L.donovani_4vsControl_logFC	L.donovani_4vsControl_test	L.donovani_8vsControl_logFC	L.donovani_8vsControl_test	L.donovani_24vsControl_logFC	L.donovani_24vsControl_test
10062	nuclear receptor subfamily 1 group H member 3	NR1H3	0.883134376966169	1	1.41475057146925	1	1.81028351579712	1
10613	ER lipid raft associated 1	ERLIN1	0.255270958416572	0	0.528721407918329	0	0.838784064403438	1
10802	SEC24 homolog A, COPII coat complex component	SEC24A	0.440097615060925	1	0.40539946938085	1	0.396529823777785	1
10938	EH domain containing 1	EHD1	1.77281518659878	1	1.40651267133112	1	1.40696454371683	1
1593	cytochrome P450 family 27 subfamily A member 1	CYP27A1	0.661758179780765	0	1.18209936132652	0	1.81673631360289	1
2055	CLN8 transmembrane ER and ERGIC protein	CLN8	1.04285136686454	1	0.965188715050177	1	0.825448458010646	1
2222	farnesyl-diphosphate farnesyltransferase 1	FDFT1	-0.623564578071679	0	-0.857950688099898	-1	-0.286759530362231	0
2230	ferredoxin 1	FDX1	0.446825688011371	0	0.801232523078912	1	1.28516791019349	1
22913	RALY heterogeneous nuclear ribonucleoprotein	RALY	0.134141430816515	0	-0.0670226350380503	0	-0.355814749757233	-1
23780	apolipoprotein L2	APOL2	0.21151513153904	0	1.1481888961064	1	1.37938258581648	1
3837	karyopherin subunit beta 1	KPNB1	0.118466189373873	0	0.0819333502401101	0	0.398651312565782	1
4047	lanosterol synthase	LSS	1.0325449133315	1	1.35551312073134	1	1.21906933367407	1
4790	nuclear factor kappa B subunit 1	NFKB1	0.786165146545752	1	0.663667587347494	1	0.611383308285621	1
5742	prostaglandin-endoperoxide synthase 1	PTGS1	-0.449169553404616	0	-0.699733988460105	0	-1.05887824042014	-1
6256	retinoid X receptor alpha	RXRA	-0.180714149891511	0	-0.146133091121017	0	-0.528242000269074	-1
6257	retinoid X receptor beta	RXRB	-0.518642123748556	-1	-0.461276603351687	0	-0.629666427661345	-1
6319	stearoyl-CoA desaturase	SCD	0.533697170453518	0	0.576410363552201	0	1.37213522505668	1
6646	sterol O-acyltransferase 1	SOAT1	0.524070205831778	0	0.877775746148494	1	1.19515414227545	1
8542	apolipoprotein L1	APOL1	-0.32025346117312	0	0.321281282849068	0	1.47185882405569	1
8613	phospholipid phosphatase 3	PLPP3	1.67125613127205	1	1.80290410917151	1	2.10945356798388	1
9885	oxysterol binding protein like 2	OSBPL2	-0.2933401022855	-1	-0.100190869812534	0	-0.0620084818774664	0
