ENTREZID	GENENAME	SYMBOL	L.donovani_4vsControl_logFC	L.donovani_4vsControl_test	L.donovani_8vsControl_logFC	L.donovani_8vsControl_test	L.donovani_24vsControl_logFC	L.donovani_24vsControl_test
4489	metallothionein 1A	MT1A	3.56473581958078	1	3.93799218001928	1	3.33318987619084	1
4502	metallothionein 2A	MT2A	3.54589635697794	1	3.6786679924608	1	3.40599585795112	1
4496	metallothionein 1H	MT1H	3.50143343595062	1	3.66952822665661	1	3.203043924986	1
4494	metallothionein 1F	MT1F	3.45483897941794	1	3.60594270929082	1	3.1814172144438	1
4501	metallothionein 1X	MT1X	3.57860874037091	1	3.19828842148666	1	2.51626054827531	1
6513	solute carrier family 2 member 1	SLC2A1	3.53840640025524	1	2.87348944061424	1	1.58374998901283	1
84879	major facilitator superfamily domain containing 2A	MFSD2A	2.8496674657606	1	2.30937519580149	1	2.43997540093656	1
3656	interleukin 1 receptor associated kinase 2	IRAK2	3.05362932870451	1	2.39213386080537	1	2.07345268596868	1
205	adenylate kinase 4	AK4	2.40416710069115	1	2.52181002513619	1	2.5220293060835	1
130367	sphingosine-1-phosphate phosphatase 2	SGPP2	2.66972228214533	1	2.6875223930599	1	2.07289716702107	1
50486	G0/G1 switch 2	G0S2	2.34280716060955	1	2.35724366609725	1	2.5736950417104	1
57823	SLAM family member 7	SLAMF7	1.46635874671128	1	2.23763393568002	1	3.02797569780218	1
91543	radical S-adenosyl methionine domain containing 2	RSAD2	1.26694962711512	0	2.78211529835089	1	2.65662014761929	1
6507	solute carrier family 1 member 3	SLC1A3	2.04274130518691	1	2.30340041605539	1	2.15500587917017	1
7130	TNF alpha induced protein 6	TNFAIP6	1.5855832850946	1	1.88246035161886	1	3.0202669601795	1
3690	integrin subunit beta 3	ITGB3	1.85975853381901	1	2.36430312783932	1	2.22766458950558	1
54210	triggering receptor expressed on myeloid cells 1	TREM1	2.32981549370196	1	2.3386393719257	1	1.66374454653187	1
5027	purinergic receptor P2X 7	P2RX7	1.80141596230513	1	2.19320564224521	1	2.31778876594205	1
133	adrenomedullin	ADM	2.46440811603526	1	1.99933795019816	1	1.76716296914468	1
9953	heparan sulfate-glucosamine 3-sulfotransferase 3B1	HS3ST3B1	1.83473417116228	1	1.48873822310271	0	2.88216134775528	1
8140	solute carrier family 7 member 5	SLC7A5	2.57174844559554	1	2.36721483744764	1	1.04097966544759	0
9659	phosphodiesterase 4D interacting protein	PDE4DIP	1.81025031074679	1	1.97911951336214	1	2.12194839446949	1
3576	C-X-C motif chemokine ligand 8	CXCL8	1.90182465860368	1	1.73771973103699	1	2.01983556028413	1
5292	Pim-1 proto-oncogene, serine/threonine kinase	PIM1	1.72645473346736	1	1.8765200378311	1	2.04839546584491	1
467	activating transcription factor 3	ATF3	2.28746959538675	1	2.07202233291265	1	1.28154165995758	1
414062	C-C motif chemokine ligand 3 like 3	CCL3L3	1.99305046579877	1	1.7527747400964	1	1.87977191502694	1
1435	colony stimulating factor 1	CSF1	1.81052143192579	1	2.10457981197848	1	1.69193261039354	1
2713	glycerol kinase 3 pseudogene	GK3P	1.6060089445065	1	1.69914355020684	1	2.27997966745813	1
8613	phospholipid phosphatase 3	PLPP3	1.67125613127205	1	1.80290410917151	1	2.10945356798388	1
3099	hexokinase 2	HK2	1.97738206404576	1	1.77115989635259	1	1.74276231633528	1
6348	C-C motif chemokine ligand 3	CCL3	1.94006861156927	1	1.68831104015127	1	1.83922855527186	1
57600	folliculin interacting protein 2	FNIP2	2.09674589751249	1	2.04798717679171	1	1.18584464916232	1
23189	KN motif and ankyrin repeat domains 1	KANK1	2.65017434261375	1	2.02897935183775	1	0.638425379007906	0
6349	C-C motif chemokine ligand 3 like 1	CCL3L1	1.70657950921958	1	1.68860500149454	1	1.74427533639891	1
55686	melanoregulin	MREG	1.52850094901259	1	1.80269892644726	1	1.77828415276627	1
9589	WT1 associated protein	WTAP	1.90633019970498	1	1.7348134918552	1	1.44476325220545	1
56675	nuclear receptor interacting protein 3	NRIP3	1.70764975358456	1	2.12101718538365	1	1.18212936486552	1
9560	C-C motif chemokine ligand 4 like 2	CCL4L2	1.88890974617101	1	1.49415615769492	1	1.5721218931886	1
116071	basic leucine zipper ATF-like transcription factor 2	BATF2	0.677610946874353	0	1.75762381548752	1	2.48097270698256	1
4854	notch receptor 3	NOTCH3	1.53363119480157	1	2.12124041677558	1	1.24416992812075	1
10602	CDC42 effector protein 3	CDC42EP3	1.76967934675007	1	1.90336832478945	1	1.17633970683732	0
2317	filamin B	FLNB	1.79443178002677	1	2.02347187306258	1	1.00740214065043	0
6351	C-C motif chemokine ligand 4	CCL4	1.85784990238978	1	1.54970927451963	1	1.40853351344445	1
57493	heart development protein with EGF like domains 1	HEG1	1.79825821545144	1	2.00360881618273	1	1.01334227234135	1
5209	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3	PFKFB3	1.82535776793841	1	1.43416597897681	1	1.54677572971916	1
1263	polo like kinase 3	PLK3	1.83709720074043	1	1.42512048917222	1	1.54384594723516	1
79836	LON peptidase N-terminal domain and ring finger 3	LONRF3	1.82158556801991	1	1.67411395296093	1	1.25676558795675	1
388372	C-C motif chemokine ligand 4 like 1	CCL4L1	1.81205413636412	1	1.56673213386841	1	1.37245445990301	1
182	jagged canonical Notch ligand 1	JAG1	2.0692480532522	1	1.46310581491004	1	1.12533460301934	0
10938	EH domain containing 1	EHD1	1.77281518659878	1	1.40651267133112	1	1.40696454371683	1
2710	glycerol kinase	GK	1.41255115197907	1	1.36669359395585	1	1.79628729890106	1
7357	UDP-glucose ceramide glucosyltransferase	UGCG	1.53411658612468	1	1.67668957946395	1	1.36432615832739	1
1645	aldo-keto reductase family 1 member C1	AKR1C1	1.57293273375416	1	2.14338033326384	1	0.849717636837982	0
115361	guanylate binding protein 4	GBP4	0.120486926512823	0	1.52106936850673	0	2.88126120536937	1
3762	potassium inwardly rectifying channel subfamily J member 5	KCNJ5	1.29019010986728	1	1.77364613353634	1	1.4529434626834	1
91283	Myb/SANT DNA binding domain containing 3	MSANTD3	1.54279518318744	1	1.58238932994809	1	1.37258215768664	1
57464	striatin interacting protein 2	STRIP2	1.5406612277371	1	1.62411582719781	1	1.31764840441956	1
7124	tumor necrosis factor	TNF	1.54243524221627	1	1.5641412824793	1	1.37227641210528	1
4234	methyltransferase like 1	METTL1	1.38588471148445	1	1.38790722281656	1	1.69331889460174	1
255231	mucolipin 2	MCOLN2	1.039835552256	1	1.43311684704233	1	1.99338082757253	1
1646	aldo-keto reductase family 1 member C2	AKR1C2	1.58487971705952	1	2.17188177268486	1	0.654271041755708	0
9034	C-C motif chemokine receptor like 2	CCRL2	1.49220391603789	1	1.38356830975734	1	1.5198113997671	1
8767	receptor interacting serine/threonine kinase 2	RIPK2	1.47064891047531	1	1.51989232964319	1	1.39694699415004	1
84419	chromosome 15 open reading frame 48	C15orf48	1.41618404551741	1	1.36475933637556	1	1.57045431564906	1
57732	zinc finger FYVE-type containing 28	ZFYVE28	1.57557040984273	1	1.78454655045366	1	0.971300044313992	1
55824	phosphoprotein membrane anchor with glycosphingolipid microdomains 1	PAG1	1.49435238777841	1	1.22222048554772	1	1.60715485629637	1
3553	interleukin 1 beta	IL1B	1.23319942884105	0	1.00512804985341	0	2.05579384636748	1
7145	tensin 1	TNS1	1.31575265621827	1	1.64497050522482	1	1.33285255397265	1
196383	Rab interacting lysosomal protein like 2	RILPL2	1.26738205786239	1	1.371385000075	1	1.64929601440599	1
115362	guanylate binding protein 5	GBP5	-0.06248921192139	0	1.45251354945285	1	2.8796425817719	1
29887	sorting nexin 10	SNX10	0.848392353722755	1	1.51625487530435	1	1.89478227450422	1
7422	vascular endothelial growth factor A	VEGFA	1.98699421799247	1	1.1501644549259	1	1.10035600029951	1
23327	NEDD4 like E3 ubiquitin protein ligase	NEDD4L	1.19363623963497	0	1.74298387201837	1	1.27898810372657	0
3437	interferon induced protein with tetratricopeptide repeats 3	IFIT3	0.705898314047236	0	1.82970436370592	1	1.67902651277875	1
245972	ATPase H+ transporting V0 subunit d2	ATP6V0D2	0.977700941658355	0	1.52287996630498	1	1.71040649476625	1
8644	aldo-keto reductase family 1 member C3	AKR1C3	1.56979498493183	1	2.00778341964447	1	0.620457048746752	0
