ENTREZID	GENENAME	SYMBOL	L.major_4vsControl_logFC	L.major_4vsControl_test	L.major_8vsControl_logFC	L.major_8vsControl_test	L.major_24vsControl_logFC	L.major_24vsControl_test
10062	nuclear receptor subfamily 1 group H member 3	NR1H3	0.798785165533785	1	1.34024742906195	1	2.00129169695469	1
10484	Sec23 homolog A, coat complex II component	SEC23A	0.298003979794725	0	0.256738390370622	0	0.529624139046238	1
10613	ER lipid raft associated 1	ERLIN1	0.0862203732489117	0	0.365787445241107	0	0.820909544837022	1
10682	EBP cholestenol delta-isomerase	EBP	-0.240722654815841	0	-0.606437905948638	-1	-0.553457631089184	-1
10802	SEC24 homolog A, COPII coat complex component	SEC24A	0.398398578584677	1	0.563457569358469	1	0.515664728680399	1
10938	EH domain containing 1	EHD1	2.93278336142157	1	2.50418192749588	1	1.63086121399692	1
1593	cytochrome P450 family 27 subfamily A member 1	CYP27A1	0.397486828885604	0	0.934895928550237	0	1.84174246027373	1
2055	CLN8 transmembrane ER and ERGIC protein	CLN8	1.02778005105178	1	1.24071141173569	1	0.813145764088782	1
2222	farnesyl-diphosphate farnesyltransferase 1	FDFT1	-0.33338200179416	0	-0.896842895140383	-1	-0.623138744877002	-1
2230	ferredoxin 1	FDX1	0.52771906750465	0	0.891998178306142	1	1.49257010656059	1
23780	apolipoprotein L2	APOL2	0.265369003990131	0	1.21197059834289	1	1.48882795383481	1
3156	3-hydroxy-3-methylglutaryl-CoA reductase	HMGCR	0.294423255842529	0	-0.422550857776685	0	-1.13231184518629	-1
3422	isopentenyl-diphosphate delta isomerase 1	IDI1	0.359933219797199	0	0.0242963299623131	0	-0.529661622224703	-1
39	acetyl-CoA acetyltransferase 2	ACAT2	1.26519079696805	1	1.14702152789112	0	0.942297160999271	0
4047	lanosterol synthase	LSS	1.35237602105968	1	1.78706381119219	1	1.4371153194394	1
47	ATP citrate lyase	ACLY	-0.236958610156542	0	-0.304274184675076	-1	-0.300098512515794	0
4790	nuclear factor kappa B subunit 1	NFKB1	1.20440687537338	1	1.12202190531884	1	0.821096699512927	1
4802	nuclear transcription factor Y subunit gamma	NFYC	-0.190147297238425	0	-0.236447148323435	0	-0.597708294634829	-1
50814	NAD(P) dependent steroid dehydrogenase-like	NSDHL	-0.0377156007177089	0	-0.412773686854974	-1	-0.586409099430959	-1
5336	phospholipase C gamma 2	PLCG2	-0.195961877550873	0	-0.401988998713492	-1	-0.496431962190075	-1
5465	peroxisome proliferator activated receptor alpha	PPARA	0.192729771268633	0	0.301611987642607	0	0.791323153296139	1
55902	acyl-CoA synthetase short chain family member 2	ACSS2	-0.560506756304568	0	-0.97475188298087	-1	-0.1116443350562	0
5742	prostaglandin-endoperoxide synthase 1	PTGS1	-0.589435032107687	0	-0.947082984495514	-1	-2.21648641985157	-1
6256	retinoid X receptor alpha	RXRA	-0.308556522769265	0	-0.563795780238035	-1	-1.19273546579089	-1
6257	retinoid X receptor beta	RXRB	-0.674566045163473	-1	-0.747890248918859	-1	-0.516731705607151	-1
6646	sterol O-acyltransferase 1	SOAT1	0.579297935074463	0	1.06616177266802	1	1.5509786321416	1
6667	Sp1 transcription factor	SP1	-0.523972574932971	-1	-0.565389448790267	-1	-0.220888344445923	0
8394	phosphatidylinositol-4-phosphate 5-kinase type 1 alpha	PIP5K1A	0.454649645474451	1	0.573691069312693	1	0.30655452640196	0
8396	phosphatidylinositol-5-phosphate 4-kinase type 2 beta	PIP4K2B	-0.638279864142362	-1	-0.774564936033821	-1	-0.189281535766256	0
8542	apolipoprotein L1	APOL1	-0.0799084336792877	0	0.405102344869137	0	1.43189565102835	1
8613	phospholipid phosphatase 3	PLPP3	1.34455148433507	1	1.95381778480795	1	2.25755212430532	1
8760	CDP-diacylglycerol synthase 2	CDS2	-0.246971129194685	0	0.280378533101111	0	0.449028110285816	1
