ENTREZID	GENENAME	SYMBOL	L.major_4vsControl_logFC	L.major_4vsControl_test	L.major_8vsControl_logFC	L.major_8vsControl_test	L.major_24vsControl_logFC	L.major_24vsControl_test
7130	TNF alpha induced protein 6	TNFAIP6	3.08828012570516	1	3.31463778939636	1	3.59663573278548	1
3656	interleukin 1 receptor associated kinase 2	IRAK2	3.79694138757226	1	3.61919636496461	1	2.2942973613913	1
9953	heparan sulfate-glucosamine 3-sulfotransferase 3B1	HS3ST3B1	3.21450982597421	1	3.07120808339334	1	3.00422560674094	1
91543	radical S-adenosyl methionine domain containing 2	RSAD2	2.3910616251202	1	3.43325642036652	1	3.27480311682578	1
4502	metallothionein 2A	MT2A	2.58175902715099	1	3.19994079108878	1	3.14352794993588	1
50486	G0/G1 switch 2	G0S2	2.73078305908906	1	2.91267531507052	1	2.89562825118257	1
5996	regulator of G protein signaling 1	RGS1	2.83405930420796	1	3.07792944354815	1	2.54852084051925	1
5209	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3	PFKFB3	2.59411853497776	1	2.89659346462575	1	2.89175416843003	1
5027	purinergic receptor P2X 7	P2RX7	2.63940205191452	1	2.95738541901843	1	2.68352965078219	1
57823	SLAM family member 7	SLAMF7	2.3445209497112	1	2.63179859734692	1	3.289841994059	1
84879	major facilitator superfamily domain containing 2A	MFSD2A	3.22637009900017	1	3.04151942695742	1	1.99507122074197	1
9021	suppressor of cytokine signaling 3	SOCS3	2.71757527303244	1	2.707238187595	1	2.5933315659625	1
130367	sphingosine-1-phosphate phosphatase 2	SGPP2	2.98608820772311	1	2.94887484708627	1	2.01664156978338	1
205	adenylate kinase 4	AK4	2.25982988612305	1	2.73570268559467	1	2.88369892628325	1
467	activating transcription factor 3	ATF3	2.9233042549369	1	2.85205614570568	1	2.06107344678284	1
7124	tumor necrosis factor	TNF	3.04562057916471	1	2.96621621423379	1	1.54623440111829	1
8140	solute carrier family 7 member 5	SLC7A5	2.74045926180893	1	2.6551807895711	1	2.1269621186121	1
4489	metallothionein 1A	MT1A	2.15914919296794	1	2.84738193339011	1	2.50695124202744	1
3553	interleukin 1 beta	IL1B	2.91747898749852	1	2.57087174362772	1	1.84174364592239	1
5292	Pim-1 proto-oncogene, serine/threonine kinase	PIM1	2.29480500167492	1	2.50247071005962	1	2.50226863370267	1
64332	NFKB inhibitor zeta	NFKBIZ	2.99073378341134	1	2.42566476160441	1	1.7956488757256	1
64109	cytokine receptor like factor 2	CRLF2	1.98087726163705	1	2.42450046609216	1	2.8006921718274	1
4496	metallothionein 1H	MT1H	1.89506490927237	1	2.78175447763949	1	2.47558614503289	1
10938	EH domain containing 1	EHD1	2.93278336142157	1	2.50418192749588	1	1.63086121399692	1
1846	dual specificity phosphatase 4	DUSP4	2.69618741489944	1	2.28746475330407	1	2.07401631733237	1
414062	C-C motif chemokine ligand 3 like 3	CCL3L3	2.59173456618463	1	2.49861882459106	1	1.93198065693518	1
3576	C-X-C motif chemokine ligand 8	CXCL8	2.34090367328847	1	2.48332188384789	1	2.18962689923214	1
6348	C-C motif chemokine ligand 3	CCL3	2.56713317833521	1	2.52326117408102	1	1.90829319408763	1
133	adrenomedullin	ADM	2.67338538108848	1	2.52098086051177	1	1.80236065808228	1
54210	triggering receptor expressed on myeloid cells 1	TREM1	2.50554054536774	1	2.74382933185693	1	1.67544118062039	1
23189	KN motif and ankyrin repeat domains 1	KANK1	3.4294517482071	1	2.74887612921384	1	0.741160708117684	0
